x_mm,y_mm,active,initial_dome_height_mm,height_mm,growth_thickness_mm,biomass,eps,active_sediment_mm,layer_id
23.000000,6.000000,1.000000,4.219040,16.407939,11.838898,0.187280,0.184476,0.289343,9.000000
24.000000,6.000000,1.000000,4.079872,16.380844,11.950972,0.187252,0.184462,0.282214,8.000000
25.000000,6.000000,1.000000,3.899799,16.352272,12.102473,0.187223,0.184446,0.289667,8.000000
26.000000,6.000000,1.000000,3.677925,16.319957,12.292031,0.187190,0.184427,0.295467,8.000000
27.000000,6.000000,1.000000,3.413111,16.288480,12.525369,0.187153,0.184406,0.284706,8.000000
28.000000,6.000000,1.000000,3.103942,16.258821,12.804880,0.187116,0.184385,0.282908,8.000000
29.000000,6.000000,1.000000,2.748684,16.233468,13.134784,0.187082,0.184365,0.288214,8.000000
30.000000,6.000000,1.000000,2.345235,16.216091,13.520855,0.187051,0.184346,0.290005,8.000000
31.000000,6.000000,1.000000,1.891046,16.203935,13.962889,0.187028,0.184330,0.292101,9.000000
32.000000,6.000000,1.000000,1.383029,16.194373,14.461344,0.187018,0.184321,0.287538,9.000000
33.000000,6.000000,1.000000,0.817424,16.190655,15.023231,0.186996,0.184311,0.288937,9.000000
34.000000,6.000000,1.000000,0.189620,16.194378,15.654758,0.186992,0.184310,0.289374,9.000000
35.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
36.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
37.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
38.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
39.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
40.000000,6.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
0.000000,7.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,7.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,7.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,7.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,7.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,7.000000,1.000000,0.142375,16.124274,15.631900,0.186972,0.184304,0.284988,9.000000
6.000000,7.000000,1.000000,0.817424,16.128971,14.961547,0.186971,0.184302,0.282254,9.000000
7.000000,7.000000,1.000000,1.427661,16.138825,14.361164,0.186982,0.184308,0.282475,8.000000
8.000000,7.000000,1.000000,1.978251,16.160501,13.832251,0.187004,0.184321,0.289985,9.000000
9.000000,7.000000,1.000000,2.473389,16.189283,13.365894,0.187034,0.184338,0.289645,8.000000
10.000000,7.000000,1.000000,2.916521,16.230408,12.963886,0.187069,0.184357,0.288378,9.000000
11.000000,7.000000,1.000000,3.310492,16.282910,12.622419,0.187109,0.184378,0.282390,9.000000
12.000000,7.000000,1.000000,3.657656,16.348667,12.341011,0.187164,0.184406,0.288374,9.000000
13.000000,7.000000,1.000000,3.959968,16.402973,12.093005,0.187228,0.184437,0.292756,8.000000
14.000000,7.000000,1.000000,4.219040,16.434660,11.865620,0.187262,0.184461,0.284331,9.000000
15.000000,7.000000,1.000000,4.436195,16.442712,11.656518,0.187298,0.184486,0.279935,9.000000
16.000000,7.000000,1.000000,4.612497,16.455417,11.492920,0.187334,0.184509,0.289246,8.000000
17.000000,7.000000,1.000000,4.748786,16.472000,11.373214,0.187363,0.184527,0.288956,9.000000
18.000000,7.000000,1.000000,4.845696,16.488353,11.292657,0.187388,0.184541,0.293441,8.000000
19.000000,7.000000,1.000000,4.903668,16.502136,11.248468,0.187403,0.184550,0.288371,9.000000
20.000000,7.000000,1.000000,4.922963,16.510705,11.237742,0.187409,0.184552,0.288367,9.000000
21.000000,7.000000,1.000000,4.903668,16.513795,11.260127,0.187409,0.184552,0.287988,9.000000
22.000000,7.000000,1.000000,4.845696,16.507396,11.311700,0.187400,0.184546,0.283209,8.000000
