x_mm,y_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
30.000000,4.000000,11.736152,0.182177,0.181578,0.282804,9.000000
31.000000,4.000000,11.736577,0.182177,0.181577,0.283592,9.000000
32.000000,4.000000,11.736558,0.182178,0.181578,0.285818,9.000000
33.000000,4.000000,11.736162,0.182175,0.181576,0.283028,8.000000
34.000000,4.000000,11.734604,0.182173,0.181575,0.284749,8.000000
35.000000,4.000000,11.739489,0.182170,0.181573,0.289572,8.000000
36.000000,4.000000,11.747636,0.182171,0.181572,0.281919,8.000000
37.000000,4.000000,11.758839,0.182181,0.181572,0.286286,8.000000
38.000000,4.000000,11.750548,0.081434,0.056909,0.080658,8.000000
39.000000,4.000000,11.756609,0.182182,0.181573,0.286549,9.000000
40.000000,4.000000,11.747418,0.182174,0.181574,0.291422,8.000000
0.000000,5.000000,11.759275,0.182172,0.181570,0.284044,8.000000
1.000000,5.000000,11.753636,0.182180,0.181572,0.283312,8.000000
2.000000,5.000000,11.748640,0.182174,0.181572,0.285709,9.000000
3.000000,5.000000,11.741115,0.182169,0.181571,0.286965,9.000000
4.000000,5.000000,11.735236,0.182168,0.181570,0.285986,8.000000
5.000000,5.000000,11.728112,0.182164,0.181569,0.281101,8.000000
6.000000,5.000000,11.720454,0.182160,0.181568,0.283021,8.000000
7.000000,5.000000,11.715631,0.182156,0.181566,0.291252,8.000000
8.000000,5.000000,11.712043,0.182155,0.181566,0.287910,8.000000
9.000000,5.000000,11.711238,0.182154,0.181565,0.288274,8.000000
10.000000,5.000000,11.712114,0.182154,0.181564,0.284106,8.000000
11.000000,5.000000,11.724530,0.182154,0.181564,0.289560,8.000000
12.000000,5.000000,11.740922,0.182158,0.181563,0.284469,9.000000
13.000000,5.000000,11.749586,0.182165,0.181562,0.288985,8.000000
14.000000,5.000000,11.745342,0.182154,0.181558,0.287388,8.000000
15.000000,5.000000,11.731482,0.182149,0.181559,0.290486,8.000000
16.000000,5.000000,11.717273,0.182149,0.181561,0.292221,8.000000
17.000000,5.000000,11.709908,0.182149,0.181561,0.280455,8.000000
